rating_ID,Store_ID,rating
1,1,3.45
2,2,4.12
3,3,2.78
4,4,1.95
5,5,4.67
6,6,3.21
7,7,2.34
8,8,4.89
9,9,1.56
10,10,3.78
11,11,2.89
12,12,4.45
13,13,1.23
14,14,3.99
15,15,2.67
16,16,4.56
17,17,1.78
18,18,3.45
19,19,2.12
20,20,4.01
21,21,1.98
22,22,3.56
23,23,2.11
24,24,4.23
25,25,1.45
26,26,3.78
27,27,2.89
28,28,4.45
29,29,1.23
30,30,3.99
31,31,2.67
32,32,4.56
33,33,1.78
34,34,3.45
35,35,2.12
36,36,4.01
37,37,1.98
38,38,3.56
39,39,2.11
40,40,4.23
41,41,1.45
42,42,3.78
43,43,2.89
44,44,4.45
45,45,1.23
46,46,3.99
47,47,2.67
48,48,4.56
49,49,1.78
50,50,3.45
51,51,2.12
52,52,4.01
53,53,1.98
54,54,3.56
55,55,2.11
56,56,4.23
57,57,1.45
58,58,3.78
59,59,2.89
60,60,4.45
61,61,1.23
62,62,3.99
63,63,2.67
64,64,4.56
65,65,1.78
66,66,3.45
67,67,2.12
68,68,4.01
69,69,1.98
70,70,3.56
71,71,2.11
72,72,4.23
73,73,1.45
74,74,3.78
75,75,2.89
76,76,4.45
77,77,1.23
78,78,3.99
79,79,2.67
80,80,4.56
81,81,1.78
82,82,3.45
83,83,2.12
84,84,4.01
85,85,1.98
86,86,3.56
87,87,2.11
88,88,4.23
89,89,1.45
90,90,3.78
91,91,2.89
92,92,4.45
93,93,1.23
94,94,3.99
95,95,2.67
96,96,4.56
97,97,1.78
98,98,3.45
99,99,2.12
100,100,4.01
101,101,1.98
102,102,3.56
103,103,2.11
104,104,4.23
105,105,1.45
106,106,3.78
107,107,2.89
108,108,4.45
109,109,1.23
110,110,3.99
111,111,2.67
112,112,4.56
113,113,1.78
114,114,3.45
115,115,2.12
116,116,4.01
117,117,1.98
118,118,3.56
119,119,2.11
120,120,4.23
121,121,1.45
122,122,3.78
123,123,2.89
124,124,4.45
125,125,1.23
126,126,3.99
127,127,2.67
128,128,4.56
129,129,1.78
130,130,3.45
131,131,2.12
132,132,4.01
133,133,1.98
134,134,3.56
135,135,2.11
136,136,4.23
137,137,1.45
138,138,3.78
139,139,2.89
140,140,4.45
141,141,1.23
142,142,3.99
143,143,2.67
144,144,4.56
145,145,1.78
146,146,3.45
147,147,2.12
148,148,4.01
149,149,1.98
150,150,3.56
151,151,2.11
152,152,4.23
153,153,1.45
154,154,3.78
155,155,2.89
156,156,4.45
157,157,1.23
158,158,3.99
159,159,2.67
160,160,4.56
161,161,1.78
162,162,3.45
163,163,2.12
164,164,4.01
165,165,1.98
166,166,3.56
167,167,2.11
168,168,4.23
169,169,1.45
170,170,3.78
171,171,2.89
172,172,4.45
173,173,1.23
174,174,3.99
175,175,2.67
176,176,4.56
177,177,1.78
178,178,3.45
179,179,2.12
180,180,4.01
181,181,1.98
182,182,3.56
183,183,2.11
184,184,4.23
185,185,1.45
186,186,3.78
187,187,2.89
188,188,4.45
189,189,1.23
190,190,3.99
191,191,2.67
192,192,4.56
193,193,1.78
194,194,3.45
195,195,2.12
196,196,4.01
197,197,1.98
198,198,3.56
199,199,2.11
200,200,4.23
201,201,1.45
202,202,3.78
203,203,2.89
204,204,4.45
205,205,1.23
206,206,3.99
207,207,2.67
208,208,4.56
209,209,1.78
210,210,3.45
211,211,2.12
212,212,4.01
213,213,1.98
214,214,3.56
215,215,2.11
216,216,4.23
217,217,1.45
218,218,3.78
219,219,2.89
220,220,4.45
221,221,1.23
222,222,3.99
223,223,2.67
224,224,4.56
225,225,1.78
226,226,3.45
227,227,2.12
228,228,4.01
229,229,1.98
230,230,3.56
231,231,2.11
232,232,4.23
233,233,1.45
234,234,3.78
235,235,2.89
236,236,4.45
237,237,1.23
238,238,3.99
239,239,2.67
240,240,4.56
241,241,1.78
242,242,3.45
243,243,2.12
244,244,4.01
245,245,1.98
246,246,3.56
